Date,Open,High,Low,Close,Adj Close,Volume
2012-10-25,65.610001,65.720001,64.970001,65.160004,61.332531,52688700
2012-10-26,65.160004,65.620003,64.650002,65.349998,61.511353,54213100
2012-10-31,65.269997,65.389999,64.730003,64.949997,61.134857,38524500
2012-11-01,65.360001,66.000000,65.169998,65.870003,62.000828,26945000
2012-11-02,66.169998,66.209999,65.110001,65.169998,61.341930,44083000
2012-11-05,65.180000,65.730003,65.040001,65.599998,61.746681,28094700
2012-11-06,65.709999,66.169998,65.459999,65.720001,61.859631,29608400
2012-11-07,65.019997,65.099998,63.900002,64.169998,60.400673,70737800
2012-11-08,64.349998,64.500000,63.160000,63.160000,59.450005,58585800
2012-11-09,63.200001,64.110001,63.160000,63.430000,59.704144,51542100
2012-11-12,63.799999,63.869999,63.250000,63.419998,59.694725,32663700
2012-11-13,62.930000,63.580002,62.779999,62.980000,59.280571,43288300
2012-11-14,63.290001,63.360001,62.139999,62.240002,58.584034,82655300
2012-11-15,62.279999,62.490002,61.799999,62.029999,58.386379,55124200
2012-11-16,62.080002,62.480000,61.310001,62.299999,58.640514,70873100
2012-11-19,62.980000,63.830002,62.959999,63.779999,60.033585,55306400
2012-11-20,63.759998,63.889999,63.189999,63.799999,60.052406,52012700
2012-11-21,63.869999,64.019997,63.599998,63.930000,60.174778,19611700
2012-11-23,64.290001,64.919998,64.250000,64.900002,61.087799,16462900
2012-11-26,64.739998,65.220001,64.540001,65.180000,61.351341,26430900
2012-11-27,65.169998,65.400002,64.849998,64.959999,61.144272,25828600
2012-11-28,64.650002,65.570000,64.250000,65.519997,61.671364,37295800
2012-11-29,65.870003,66.139999,65.580002,65.910004,62.038467,41136100
2012-11-30,65.919998,65.970001,65.610001,65.800003,61.934944,33497400
2012-12-03,66.309998,66.370003,65.639999,65.669998,61.812557,28240000
2012-12-04,65.699997,65.769997,65.199997,65.629997,61.774910,49584500
2012-12-05,65.529999,65.540001,64.550003,64.900002,61.087799,54076200
2012-12-06,64.699997,65.480003,64.529999,65.320000,61.483128,47512300
2012-12-07,65.639999,65.709999,64.709999,64.930000,61.116032,30089400
2012-12-10,64.750000,65.459999,64.750000,65.120003,61.294868,33219600
2012-12-11,65.570000,66.339996,65.519997,65.970001,62.094936,40750800
2012-12-12,66.320000,66.320000,65.650002,65.830002,61.963165,45917700
2012-12-13,65.699997,66.160004,65.029999,65.309998,61.473713,45467700
2012-12-14,64.870003,65.080002,64.470001,64.690002,60.890133,39630300
2012-12-17,64.750000,65.570000,64.660004,65.550003,61.699604,42302900
2012-12-18,65.879997,66.650002,65.699997,66.550003,62.640884,55596000
2012-12-19,66.739998,66.760002,66.220001,66.260002,62.367905,34832500
2012-12-20,66.379997,66.410004,65.930000,66.260002,62.367905,40754300
2012-12-21,64.879997,65.279999,64.599998,65.199997,61.711975,51152900
2012-12-24,65.029999,65.139999,64.919998,65.070000,61.588932,11418300
2012-12-26,65.120003,65.180000,64.290001,64.500000,61.049423,21751300
2012-12-27,64.559998,64.639999,63.599998,64.400002,60.954777,52933200
2012-12-28,63.910000,64.430000,63.750000,63.779999,60.367947,33082100
2012-12-31,63.709999,65.250000,63.580002,65.129997,61.645729,57544000
2013-01-02,66.730003,67.230003,66.480003,67.199997,63.604984,70695900
2013-01-03,67.199997,67.339996,66.650002,66.849998,63.273708,47366500
2013-01-04,66.879997,66.879997,66.470001,66.629997,63.065487,33972500
2013-01-07,66.459999,66.760002,66.250000,66.650002,63.084404,26766200
2013-01-08,66.639999,66.820000,66.169998,66.519997,62.961357,28734900
2013-01-09,66.620003,66.949997,66.550003,66.769997,63.197968,25600300
2013-01-10,67.230003,67.269997,66.550003,67.169998,63.576588,37528000
2013-01-11,67.139999,67.290001,67.000000,67.260002,63.661774,21158600
2013-01-14,66.919998,67.150002,66.669998,66.959999,63.377831,36768500
2013-01-15,66.629997,66.730003,66.330002,66.629997,63.065487,31675300
2013-01-16,66.720001,67.129997,66.599998,66.900002,63.321041,33822300
2013-01-17,67.169998,67.480003,67.059998,67.220001,63.623917,32024200
2013-01-18,67.019997,67.139999,66.769997,67.070000,63.481945,31992000
2013-01-22,67.139999,67.230003,66.730003,67.180000,63.586056,32123100
2013-01-23,67.559998,67.790001,67.459999,67.589996,63.974133,31975700
2013-01-24,66.660004,67.279999,66.559998,66.660004,63.093868,42596300
2013-01-25,66.870003,67.190002,66.739998,67.000000,63.415680,39240100
2013-01-28,67.010002,67.379997,66.930000,67.150002,63.557659,32926100
2013-01-29,67.070000,67.309998,66.629997,67.160004,63.567116,35554700
2013-01-30,67.279999,67.480003,66.870003,67.019997,63.434608,34445000
2013-01-31,66.989998,67.349998,66.809998,66.870003,63.292637,34870500
2013-02-01,67.339996,67.779999,67.070000,67.660004,64.040375,53120800
2013-02-04,67.269997,67.459999,66.459999,66.480003,62.923504,48483700
2013-02-05,66.769997,67.669998,66.610001,67.459999,63.851078,35120300
2013-02-06,67.239998,67.550003,67.040001,67.239998,63.642857,43593200
2013-02-07,67.320000,67.370003,66.559998,67.300003,63.699627,46017900
2013-02-08,67.639999,68.129997,67.629997,67.989998,64.352722,39837200
2013-02-11,68.029999,68.059998,67.779999,68.010002,64.371658,17650400
2013-02-12,67.919998,68.050003,67.660004,67.730003,64.106628,22057900
2013-02-13,67.930000,68.230003,67.769997,67.970001,64.333786,23494700
2013-02-14,67.660004,68.050003,67.620003,67.949997,64.314857,24478800
2013-02-15,67.940002,68.110001,67.559998,67.750000,64.125549,25333600
2013-02-19,67.879997,68.260002,67.860001,68.239998,64.589355,23436500
2013-02-20,68.220001,68.250000,67.180000,67.190002,63.595520,38200300
2013-02-21,66.940002,67.010002,66.230003,66.470001,62.914051,45855600
2013-02-22,66.849998,67.150002,66.589996,67.139999,63.548191,21968000
2013-02-25,67.570000,67.809998,66.250000,66.309998,62.762604,40927600
2013-02-26,66.400002,66.680000,65.959999,66.559998,62.999229,42088800
2013-02-27,66.559998,67.650002,66.470001,67.239998,63.642857,36339500
2013-02-28,67.250000,67.739998,67.089996,67.099998,63.510345,28557300
2013-03-01,66.870003,67.500000,66.540001,67.379997,63.775368,31617200
2013-03-04,67.160004,67.690002,67.070000,67.680000,64.059311,19380500
2013-03-05,68.080002,68.769997,68.080002,68.680000,65.005791,35581900
2013-03-06,68.889999,68.910004,68.419998,68.510002,64.844910,29071100
2013-03-07,68.589996,68.800003,68.449997,68.690002,65.015274,21775900
2013-03-08,68.919998,69.019997,68.500000,68.769997,65.090988,26159900
2013-03-11,68.680000,68.989998,68.470001,68.970001,65.280281,23187900
2013-03-12,68.769997,68.930000,68.389999,68.720001,65.043678,27575400
2013-03-13,68.809998,68.889999,68.389999,68.629997,64.958481,34297300
2013-03-14,68.870003,69.010002,68.709999,68.860001,65.176178,31530800
2013-03-15,68.750000,68.790001,68.339996,68.510002,64.994965,30752600
2013-03-18,67.879997,68.639999,67.730003,68.360001,64.852654,36163000
2013-03-19,68.570000,68.699997,67.620003,68.230003,64.729362,33125100
2013-03-20,68.709999,68.860001,68.389999,68.709999,65.184715,28035400
2013-03-21,68.080002,68.250000,67.769997,67.930000,64.444740,30050800
2013-03-22,68.209999,68.639999,68.129997,68.589996,65.070885,28837200
2013-03-25,68.809998,68.959999,68.010002,68.339996,64.833717,24909800
2013-03-26,68.599998,68.730003,68.449997,68.709999,65.184715,19725200
2013-03-27,68.239998,68.849998,68.139999,68.800003,65.270103,22539500
2013-03-28,68.800003,69.059998,68.639999,68.970001,65.431381,23662800
2013-04-01,69.019997,69.089996,68.309998,68.500000,64.985466,28112800
2013-04-02,68.830002,69.269997,68.769997,69.040001,65.497787,29431900
2013-04-03,69.080002,69.180000,68.239998,68.410004,64.900124,35131200
